CZ3-TI7003,CZ3-FI7020,CZ3-TI7041,CZ3-TI7001,CZ3-TI7005,CZ3-PI7101,CZ3-FC7002,CZ3-TI7043,CZ3-PI7008,CZ3-FI7017,CZ3-FI7019,CZ3-TI7007,CZ3-FI7018,CZ3-FC7007,CZ3-FIC7009,CZ3-FI7006
519.1078,1895.555,61.66824,519.9827,519.9133,0.8496203,171.0002,194.9296,0.8508264,4317.091,2493.052,523.892,2677.555,165.5895,4.19058,76029.16
518.1006,2071.618,62.64567,518.7485,518.2797,0.8479077,170.2574,193.24,0.8503124,4182.191,2594.269,521.5862,2858.755,159.4899,4.55022,74368.34
521.3389,1947.975,60.12888,517.5327,521.0168,0.8505974,170.7988,197.1505,0.8511155,4096.039,2577.99,524.1481,2881.584,164.8985,4.672464,79872.97
515.1128,1747.542,59.53998,515.778,516.047,0.8501471,170.8683,195.723,0.8497962,4264.1,2514.912,515.7291,2787.372,164.3628,3.747293,74577.54
515.353,2039.537,61.10547,512.829,516.0562,0.8482651,171.3383,195.6907,0.8495278,4454.019,2745.421,520.2616,2941.957,163.1999,4.255795,74589.74
519.2468,1873.917,61.34034,519.3843,519.9179,0.8492036,171.2315,195.1591,0.8507744,4313.522,2486.843,523.6961,2659.146,162.3461,4.20829,75934.74
516.7145,1737.933,61.50735,516.908,516.7128,0.8475937,171.2338,197.3697,0.85,4178.896,2569.329,517.2698,2888.007,164.2022,4.13315,73203.27
518.0549,2035.343,62.0895,519.6977,517.5797,0.8486772,169.5949,200.3656,0.8495625,3991.52,2507.77,521.4798,2784.656,159.5352,4.408083,77663.86
517.6508,2046.376,59.54747,518.5047,518.5633,0.8480625,169.7568,192.8422,0.8498741,4140.483,2645.303,521.699,2772.661,164.8381,3.993252,75397.92
516.8789,1715.24,61.33244,518.3832,517.965,0.8484436,170.8162,194.5753,0.849903,4289.374,2596.083,517.9063,2854.053,163.088,4.22604,75216.37
516.3905,1829.102,66.95277,516.6332,517.4938,0.8451813,171.3514,199.5264,0.8479062,4190.642,2632.38,517.8256,2982.617,160.5346,4.047536,73654.12
518.8528,1861.009,61.66162,520.1263,519.9666,0.848175,170.6711,196.6784,0.8498585,4027.157,2360.877,524.0455,2615.017,162.3201,4.226216,76167.38
518.2043,2076.788,61.98683,518.7495,518.0125,0.8494466,169.9416,200.1545,0.8504296,4061.334,2564.675,521.8499,2831.832,157.7101,4.561825,76181.46
515.0513,1774.462,60.13884,515.7417,515.4357,0.8482397,171.4238,192.1411,0.8495851,4164.367,2589.689,515.9258,2729.76,162.8401,3.828144,73503.38
518.5588,2021.832,61.20255,518.8164,518.6437,0.8505341,169.9802,197.623,0.8499271,4079.309,2432.665,521.8756,2845.174,162.3534,4.46176,77060.3
519.2597,1867.495,62.0634,518.4484,520.3733,0.8495345,170.7226,196.4121,0.8501646,4110.888,2645.286,521.9205,2973.004,159.7449,4.447602,76635.58
515.3862,1777.038,61.91294,516.006,515.965,0.8497941,171.6374,193.7237,0.8500657,4243.196,2633.803,515.9214,2745.85,164.7829,3.753373,74004.8
519.6147,1857.965,61.59182,519.9103,519.6226,0.8489999,170.544,196.1799,0.8497397,4026.059,2340.34,523.5878,2635.552,163.1523,4.258996,76630.58
517.7825,2119.948,62.13713,518.3752,517.8234,0.8468894,170.4631,195.1995,0.8497499,4328.7,2729.766,521.7977,2856.146,162.8485,3.854097,75195.27
518.14,2064.792,59.5458,519.2915,519.2185,0.8485647,170.2178,195.3727,0.8501688,4175.542,2539.066,522.563,2871.565,160.2863,4.486158,74634.75
515.8805,1719.534,61.42344,516.7033,515.36,0.8498749,171.6885,198.5539,0.8508263,4173.893,2580.184,515.934,2893.277,164.8634,3.679873,73024.4
519.1193,2069.469,59.37754,517.474,519.5149,0.8478131,170.8546,196.0823,0.8501158,4497.882,2709.301,524.6212,2860.858,159.8,4.175829,77962.73
512.3011,2050.423,62.28843,511.1878,513.6577,0.8476184,172.1836,199.8354,0.851015,4742.163,2853.076,516.1774,3075.927,166.1196,3.301176,70395.18
519.6562,2004.511,59.10112,517.349,519.9006,0.8481649,171.7569,195.7505,0.848668,4010.146,2499.211,524.311,2855.857,161.3839,4.385849,76914.06
517.568,1730.507,62.06179,517.3819,517.8148,0.8487294,171.2883,196.8681,0.8503418,4261.901,2629.69,518.0096,2876.714,164.19,3.899475,75159.53
518.5185,1978.473,62.6763,518.6719,518.7955,0.848414416,169.5524,196.8009621,0.8503051,3939.478,2507.13,522.3835,2769.12,161.7776,4.06072121,76890.47
517.2073,1779.627,63.39957,516.7717,517.2413,0.8476336,168.0551,201.2718,0.8502342,4158.927,2577.596,518.4849,2953.84,161.7928,4.09322,74799.08
516.9897,1671.102,62.71198,517.898,518.1653,0.8485111,170.7132,197.5392,0.8504668,4411.617,2528.692,517.9463,2840.692,164.2188,3.753445,74584.44
517.6979,1811.288,60.1585,518.4628,518.5197,0.8475896,169.0724,202.4653,0.8495625,4139.028,2573.066,517.9355,2964.118,159.1898,3.693279,75414.54
517.1454,1801.716,64.42233,517.3381,517.1184,0.8475068,170.3407,198.3253,0.8491459,4127.85,2621.394,517.8436,2942.957,162.0151,4.095618,75114.04
520.8333,2065.768,62.68917,516.9611,521.2525,0.8489563,169.6659,198.8153,0.8501874,3997.805,2743.249,524.1144,2882.238,164.7483,4.06072121,76386
518.5941,2076.349,59.62359,519.2847,518.6472,0.8485572,170.7144,195.3721,0.8498763,4076.191,2574.734,522.4815,2849.645,160.0762,4.483305,75465.18
516.0634,2164.579,61.74093,513.4921,516.7015,0.8468492,169.7615,201.4649,0.8501257,4624.157,2855.141,520.5846,3048.591,161.9608,4.011952,74809.44
516.0772,2205.706,62.56861,516.9609,516.7836,0.8485414,170.2198,195.0123,0.8491647,4405.151,2721.065,520.7336,2979.679,160.2773,4.079756,79677.37
516.2159,1727.537,63.07354,516.3626,516.574,0.8499516,171.3739,199.875,0.8501803,4077.871,2515.929,515.9078,2899.621,160.2958,4.148874,74716.52
518.6191,2084.689,59.30297,518.8833,518.3163,0.8467339,169.4922,193.7218,0.8488451,4125.951,2592.818,522.4297,2908.086,161.1281,4.482502,74511.88
518.3555,2095.854,62.74802,518.1938,518.2301,0.847893,170.295,192.795,0.8499931,4154.567,2636.355,522.2676,2878.306,159.2117,4.527405,76175.3
518.6716,2237.917,56.44786,516.212,516.018,0.8480424,169.8794,200.4364,0.8500546,4422.367,2609.432,523.3337,2953.971,162.1573,2.931185,76794.84
519.8046,1924.863,61.43206,519.5499,520.279,0.8491981,171.0956,196.2558,0.8500909,4113.762,2443.042,524.2757,2693.114,163.2648,4.194745,77599.57
519.4552,1882.816,59.85233,519.6736,519.9383,0.8502477,171.3647,194.7146,0.8510513,4311.358,2505.873,524.0688,2649.206,163.125,4.260153,78839.32
519.428,1913.851,61.13839,520.3336,520.5432,0.8497488,171.5579,194.3653,0.8495625,4422.346,2532.621,523.6707,2709.929,164.4252,4.240156,77064.26
515.4967,1799.953,58.35705,516.2712,515.8123,0.8484067,170.757,191.7801,0.8492759,4231.718,2637.654,515.9425,2766.984,166.023,3.843328,73318.91
517.1769,2206.044,63.03966,515.4463,518.1319,0.8470876,170.2172,201.8823,0.8500636,4530.643,2831.558,521.364,3036.208,162.7386,3.690959,75721.34
518.2772,2039.972,59.22327,515.0964,518.7976,0.8466666,170.7688,192.1702,0.8490229,4460.07,2737.724,522.8452,2942.12,159.8138,4.433748,73768.88
518.3256,2103.319,60.00514,519.0116,519.0029,0.8472551,169.6619,193.3302,0.8495625,4247.502,2693.825,522.1013,2864.548,160.3159,4.039819,75459.25
515.5588,1822.1,60.32843,516.1301,515.922,0.8488715,171.3461,193.4747,0.8500533,4198.512,2464.587,518.9717,2612.106,160.9266,4.23887,72369.48
518.939,2017.771,60.19377,518.9943,518.312,0.8490007,169.903,196.7711,0.8498487,4060.83,2437.929,522.1907,2870.498,160.2712,4.295023,75460.7
517.1754,1696.881,64.31702,517.9783,519.4904,0.8465341,169.0908,200.6744,0.8494703,4259.893,2437.114,518.4694,2856.728,160.4536,4.169303,73334.94
515.3659,1734.849,59.60252,515.2414,515.7196,0.8508651,171.208,194.5329,0.8506776,4071.804,2555.657,516.5448,2665.066,166.1503,3.516285,73817.69
516.3763,1669.954,59.2069,517.1935,516.8484,0.8512039,169.6895,191.779,0.8502388,4086.199,2452.527,515.9617,2699.63,165.3454,4.07431,73931.23
